tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Ingleses do Rio Vermelho	87.0	2.0	2.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	80.0	2.0	2.0	1.0	190000.0
Apartamento	Ribeirão da Ilha	63.0	2.0	1.0	1.0	190000.0
Apartamento	Centro	56.0	1.0	1.0	0.0	190000.0
Apartamento	Centro	55.0	1.0	1.0	0.0	190000.0
Apartamento	Ingleses do Rio Vermelho	55.0	2.0	2.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	2.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	53.0	1.0	1.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	61.0	2.0	2.0	1.0	190000.0
Apartamento	Ingleses	50.0	2.0	1.0	1.0	190000.0
Apartamento	Coqueiros	56.0	2.0	1.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	57.0	2.0	2.0	1.0	190000.0
Apartamento	Ingleses do Rio Vermelho	50.0	1.0	1.0	1.0	191000.0
Apartamento	Jardim Atlântico	58.0	3.0	1.0	0.0	192900.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	195000.0
Apartamento	Centro	46.0	1.0	1.0	0.0	195000.0
Apartamento	Estreito	55.0	2.0	1.0	1.0	195000.0
Apartamento	Centro	35.0	1.0	1.0	0.0	195000.0
Apartamento	Ingleses do Rio Vermelho	38.0	1.0	1.0	1.0	195000.0
Apartamento	Capoeiras	45.0	2.0	2.0	0.0	195000.0
Apartamento	Rio Tavares	50.0	2.0	1.0	1.0	195000.0
Apartamento	Ingleses do Rio Vermelho	45.0	1.0	1.0	1.0	195000.0
Apartamento	Ingleses do Rio Vermelho	68.0	2.0	3.0	2.0	196000.0
Apartamento	Capoeiras	58.0	2.0	1.0	1.0	197000.0
Apartamento	Ingleses do Rio Vermelho	40.0	1.0	1.0	1.0	198000.0
Apartamento	Ingleses do Rio Vermelho	84.0	2.0	3.0	1.0	199000.0
Apartamento	Pantanal	26.0	1.0	1.0	0.0	199000.0
Apartamento	Ingleses do Rio Vermelho	66.0	2.0	2.0	1.0	199000.0
Apartamento	Capoeiras	59.0	2.0	1.0	1.0	199000.0
Apartamento	Ingleses do Rio Vermelho	26.0	1.0	1.0	1.0	199000.0
Apartamento	Carvoeira	33.0	1.0	1.0	0.0	200000.0
Apartamento	Capoeiras	59.0	2.0	1.0	1.0	200000.0
Apartamento	Capoeiras	71.0	2.0	1.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	50.0	2.0	2.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	1.0	1.0	200000.0
Apartamento	Carvoeira	34.0	1.0	1.0	0.0	200000.0
Apartamento	Centro	25.0	1.0	1.0	0.0	200000.0
Apartamento	Jardim Atlântico	65.0	2.0	1.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	59.0	2.0	1.0	1.0	200000.0
Apartamento	Centro	30.0	1.0	1.0	0.0	200000.0
Apartamento	Ingleses do Rio Vermelho	59.0	2.0	2.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	60.0	2.0	2.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	66.0	2.0	2.0	1.0	200000.0
Apartamento	Cachoeira do Bom Jesus	47.0	1.0	1.0	1.0	200000.0
Apartamento	Canasvieiras	38.0	1.0	1.0	0.0	200000.0
Apartamento	Centro	40.0	1.0	1.0	0.0	200000.0
Apartamento	Campeche	58.0	2.0	2.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	80.0	2.0	1.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	62.0	2.0	1.0	1.0	200000.0
Apartamento	Ingleses do Rio Vermelho	48.0	1.0	1.0	1.0	206000.0
Apartamento	Ingleses do Rio Vermelho	63.0	2.0	2.0	1.0	209000.0
Apartamento	Centro	46.0	1.0	1.0	0.0	210000.0
Apartamento	Centro	39.0	1.0	1.0	0.0	210000.0
Apartamento	Canto	53.0	1.0	1.0	1.0	210000.0
Apartamento	Córrego Grande	62.0	1.0	1.0	1.0	210000.0
Apartamento	Canasvieiras	65.0	2.0	1.0	1.0	210000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	2.0	1.0	210000.0
Apartamento	Pantanal	26.0	1.0	1.0	0.0	210000.0
Apartamento	Estreito	44.0	2.0	1.0	1.0	210000.0
Apartamento	Coqueiros	66.0	3.0	1.0	1.0	212000.0
Apartamento	Centro	37.0	1.0	1.0	1.0	212000.0
Apartamento	Coqueiros	66.0	3.0	1.0	1.0	212766.0
Apartamento	Coqueiros	66.0	3.0	1.0	1.0	213000.0
Apartamento	Capoeiras	78.0	2.0	1.0	1.0	214000.0
Apartamento	Capoeiras	66.0	2.0	1.0	1.0	214000.0
Apartamento	Capoeiras	75.0	3.0	1.0	1.0	215000.0
Apartamento	Ingleses do Rio Vermelho	80.0	2.0	2.0	1.0	215000.0
Apartamento	Coqueiros	66.0	3.0	1.0	1.0	215000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	1.0	1.0	215000.0
Apartamento	Pantanal	39.0	1.0	1.0	1.0	215000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	2.0	1.0	215000.0
Apartamento	Coqueiros	78.0	3.0	1.0	0.0	215000.0
Apartamento	Coqueiros	44.0	2.0	1.0	1.0	215000.0
Apartamento	Estreito	64.0	2.0	2.0	0.0	215000.0
Apartamento	Cachoeira do Bom Jesus	38.0	1.0	1.0	1.0	219000.0
Apartamento	Centro	43.0	1.0	1.0	0.0	219000.0
Apartamento	Ingleses do Rio Vermelho	45.0	1.0	1.0	1.0	219500.0
Apartamento	Centro	30.0	1.0	1.0	0.0	219890.0
Apartamento	Centro	43.0	1.0	1.0	0.0	219900.0
Apartamento	Ingleses do Rio Vermelho	69.0	2.0	2.0	1.0	220000.0
Apartamento	Ingleses do Rio Vermelho	60.0	2.0	2.0	1.0	220000.0
Apartamento	Ingleses do Rio Vermelho	72.0	2.0	1.0	1.0	220000.0
Apartamento	Itacorubi	29.0	1.0	1.0	1.0	220000.0
